Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026061,East Lindsey 001B,0,Owned: Owns outright,265
E01026061,East Lindsey 001B,1,Owned: Owns with a mortgage or loan,189
E01026061,East Lindsey 001B,2,Shared ownership: Shared ownership,1
E01026061,East Lindsey 001B,3,Social rented: Rents from council or Local Authority,1
E01026061,East Lindsey 001B,4,Social rented: Other social rented,3
E01026061,East Lindsey 001B,5,Private rented: Private landlord or letting agency,32
E01026061,East Lindsey 001B,6,Private rented: Other private rented,10
E01026061,East Lindsey 001B,7,Lives rent free,0
E01026062,East Lindsey 001C,-8,Does not apply,0
E01026062,East Lindsey 001C,0,Owned: Owns outright,234
E01026062,East Lindsey 001C,1,Owned: Owns with a mortgage or loan,154
E01026062,East Lindsey 001C,2,Shared ownership: Shared ownership,0
E01026062,East Lindsey 001C,3,Social rented: Rents from council or Local Authority,8
E01026062,East Lindsey 001C,4,Social rented: Other social rented,42
E01026062,East Lindsey 001C,5,Private rented: Private landlord or letting agency,68
E01026062,East Lindsey 001C,6,Private rented: Other private rented,13
E01026062,East Lindsey 001C,7,Lives rent free,0
E01026063,East Lindsey 001D,-8,Does not apply,0
E01026063,East Lindsey 001D,0,Owned: Owns outright,349
E01026063,East Lindsey 001D,1,Owned: Owns with a mortgage or loan,245
E01026063,East Lindsey 001D,2,Shared ownership: Shared ownership,13
E01026063,East Lindsey 001D,3,Social rented: Rents from council or Local Authority,2
E01026063,East Lindsey 001D,4,Social rented: Other social rented,14
E01026063,East Lindsey 001D,5,Private rented: Private landlord or letting agency,56
E01026063,East Lindsey 001D,6,Private rented: Other private rented,8
E01026063,East Lindsey 001D,7,Lives rent free,0
E01026064,East Lindsey 011A,-8,Does not apply,0
E01026064,East Lindsey 011A,0,Owned: Owns outright,194
E01026064,East Lindsey 011A,1,Owned: Owns with a mortgage or loan,159
E01026064,East Lindsey 011A,2,Shared ownership: Shared ownership,30
E01026064,East Lindsey 011A,3,Social rented: Rents from council or Local Authority,61
E01026064,East Lindsey 011A,4,Social rented: Other social rented,185
E01026064,East Lindsey 011A,5,Private rented: Private landlord or letting agency,72
E01026064,East Lindsey 011A,6,Private rented: Other private rented,9
E01026064,East Lindsey 011A,7,Lives rent free,1
E01026065,East Lindsey 011B,-8,Does not apply,0
E01026065,East Lindsey 011B,0,Owned: Owns outright,494
E01026065,East Lindsey 011B,1,Owned: Owns with a mortgage or loan,204
E01026065,East Lindsey 011B,2,Shared ownership: Shared ownership,9
E01026065,East Lindsey 011B,3,Social rented: Rents from council or Local Authority,11
E01026065,East Lindsey 011B,4,Social rented: Other social rented,33
E01026065,East Lindsey 011B,5,Private rented: Private landlord or letting agency,105
E01026065,East Lindsey 011B,6,Private rented: Other private rented,34
E01026065,East Lindsey 011B,7,Lives rent free,0
E01026066,East Lindsey 011C,-8,Does not apply,0
E01026066,East Lindsey 011C,0,Owned: Owns outright,506
E01026066,East Lindsey 011C,1,Owned: Owns with a mortgage or loan,273
E01026066,East Lindsey 011C,2,Shared ownership: Shared ownership,2
E01026066,East Lindsey 011C,3,Social rented: Rents from council or Local Authority,1
E01026066,East Lindsey 011C,4,Social rented: Other social rented,23
E01026066,East Lindsey 011C,5,Private rented: Private landlord or letting agency,132
E01026066,East Lindsey 011C,6,Private rented: Other private rented,27
E01026066,East Lindsey 011C,7,Lives rent free,0
E01026067,East Lindsey 011D,-8,Does not apply,0
E01026067,East Lindsey 011D,0,Owned: Owns outright,268
E01026067,East Lindsey 011D,1,Owned: Owns with a mortgage or loan,204
E01026067,East Lindsey 011D,2,Shared ownership: Shared ownership,7
E01026067,East Lindsey 011D,3,Social rented: Rents from council or Local Authority,24
E01026067,East Lindsey 011D,4,Social rented: Other social rented,144
E01026067,East Lindsey 011D,5,Private rented: Private landlord or letting agency,301
E01026067,East Lindsey 011D,6,Private rented: Other private rented,27
E01026067,East Lindsey 011D,7,Lives rent free,0
E01026068,East Lindsey 009B,-8,Does not apply,0
E01026068,East Lindsey 009B,0,Owned: Owns outright,464
E01026068,East Lindsey 009B,1,Owned: Owns with a mortgage or loan,210
E01026068,East Lindsey 009B,2,Shared ownership: Shared ownership,3
E01026068,East Lindsey 009B,3,Social rented: Rents from council or Local Authority,17
E01026068,East Lindsey 009B,4,Social rented: Other social rented,46
E01026068,East Lindsey 009B,5,Private rented: Private landlord or letting agency,171
E01026068,East Lindsey 009B,6,Private rented: Other private rented,34
E01026068,East Lindsey 009B,7,Lives rent free,0
E01026069,East Lindsey 010D,-8,Does not apply,0
E01026069,East Lindsey 010D,0,Owned: Owns outright,576
E01026069,East Lindsey 010D,1,Owned: Owns with a mortgage or loan,90
E01026069,East Lindsey 010D,2,Shared ownership: Shared ownership,11
E01026069,East Lindsey 010D,3,Social rented: Rents from council or Local Authority,43
E01026069,East Lindsey 010D,4,Social rented: Other social rented,127
E01026069,East Lindsey 010D,5,Private rented: Private landlord or letting agency,162
E01026069,East Lindsey 010D,6,Private rented: Other private rented,51
E01026069,East Lindsey 010D,7,Lives rent free,0
E01026070,East Lindsey 009C,-8,Does not apply,0
E01026070,East Lindsey 009C,0,Owned: Owns outright,418
E01026070,East Lindsey 009C,1,Owned: Owns with a mortgage or loan,223
E01026070,East Lindsey 009C,2,Shared ownership: Shared ownership,20
E01026070,East Lindsey 009C,3,Social rented: Rents from council or Local Authority,10
E01026070,East Lindsey 009C,4,Social rented: Other social rented,40
E01026070,East Lindsey 009C,5,Private rented: Private landlord or letting agency,179
E01026070,East Lindsey 009C,6,Private rented: Other private rented,60
E01026070,East Lindsey 009C,7,Lives rent free,1
E01026071,East Lindsey 007A,-8,Does not apply,0
E01026071,East Lindsey 007A,0,Owned: Owns outright,520
E01026071,East Lindsey 007A,1,Owned: Owns with a mortgage or loan,214
E01026071,East Lindsey 007A,2,Shared ownership: Shared ownership,6
E01026071,East Lindsey 007A,3,Social rented: Rents from council or Local Authority,6
E01026071,East Lindsey 007A,4,Social rented: Other social rented,39
E01026071,East Lindsey 007A,5,Private rented: Private landlord or letting agency,132
E01026071,East Lindsey 007A,6,Private rented: Other private rented,35
E01026071,East Lindsey 007A,7,Lives rent free,0
E01026072,East Lindsey 005A,-8,Does not apply,0
E01026072,East Lindsey 005A,0,Owned: Owns outright,458
E01026072,East Lindsey 005A,1,Owned: Owns with a mortgage or loan,139
E01026072,East Lindsey 005A,2,Shared ownership: Shared ownership,27
E01026072,East Lindsey 005A,3,Social rented: Rents from council or Local Authority,54
E01026072,East Lindsey 005A,4,Social rented: Other social rented,155
E01026072,East Lindsey 005A,5,Private rented: Private landlord or letting agency,155
E01026072,East Lindsey 005A,6,Private rented: Other private rented,25
E01026072,East Lindsey 005A,7,Lives rent free,1
E01026073,East Lindsey 005B,-8,Does not apply,0
E01026073,East Lindsey 005B,0,Owned: Owns outright,371
E01026073,East Lindsey 005B,1,Owned: Owns with a mortgage or loan,120
E01026073,East Lindsey 005B,2,Shared ownership: Shared ownership,5
E01026073,East Lindsey 005B,3,Social rented: Rents from council or Local Authority,22
E01026073,East Lindsey 005B,4,Social rented: Other social rented,190
E01026073,East Lindsey 005B,5,Private rented: Private landlord or letting agency,218
E01026073,East Lindsey 005B,6,Private rented: Other private rented,33
E01026073,East Lindsey 005B,7,Lives rent free,0
E01026074,East Lindsey 005C,-8,Does not apply,0
E01026074,East Lindsey 005C,0,Owned: Owns outright,625
E01026074,East Lindsey 005C,1,Owned: Owns with a mortgage or loan,137
E01026074,East Lindsey 005C,2,Shared ownership: Shared ownership,11
E01026074,East Lindsey 005C,3,Social rented: Rents from council or Local Authority,24
E01026074,East Lindsey 005C,4,Social rented: Other social rented,94
E01026074,East Lindsey 005C,5,Private rented: Private landlord or letting agency,142
E01026074,East Lindsey 005C,6,Private rented: Other private rented,24
E01026074,East Lindsey 005C,7,Lives rent free,2
E01026075,East Lindsey 018B,-8,Does not apply,0
E01026075,East Lindsey 018B,0,Owned: Owns outright,469
E01026075,East Lindsey 018B,1,Owned: Owns with a mortgage or loan,219
E01026075,East Lindsey 018B,2,Shared ownership: Shared ownership,0
E01026075,East Lindsey 018B,3,Social rented: Rents from council or Local Authority,13
E01026075,East Lindsey 018B,4,Social rented: Other social rented,60
E01026075,East Lindsey 018B,5,Private rented: Private landlord or letting agency,154
E01026075,East Lindsey 018B,6,Private rented: Other private rented,38
E01026075,East Lindsey 018B,7,Lives rent free,0
E01026076,East Lindsey 002B,-8,Does not apply,0
E01026076,East Lindsey 002B,0,Owned: Owns outright,522
E01026076,East Lindsey 002B,1,Owned: Owns with a mortgage or loan,269
E01026076,East Lindsey 002B,2,Shared ownership: Shared ownership,5
E01026076,East Lindsey 002B,3,Social rented: Rents from council or Local Authority,12
E01026076,East Lindsey 002B,4,Social rented: Other social rented,54
E01026076,East Lindsey 002B,5,Private rented: Private landlord or letting agency,86
E01026076,East Lindsey 002B,6,Private rented: Other private rented,26
E01026076,East Lindsey 002B,7,Lives rent free,0
E01026077,East Lindsey 003A,-8,Does not apply,0
E01026077,East Lindsey 003A,0,Owned: Owns outright,218
E01026077,East Lindsey 003A,1,Owned: Owns with a mortgage or loan,152
E01026077,East Lindsey 003A,2,Shared ownership: Shared ownership,18
E01026077,East Lindsey 003A,3,Social rented: Rents from council or Local Authority,49
E01026077,East Lindsey 003A,4,Social rented: Other social rented,147
E01026077,East Lindsey 003A,5,Private rented: Private landlord or letting agency,52
E01026077,East Lindsey 003A,6,Private rented: Other private rented,9
E01026077,East Lindsey 003A,7,Lives rent free,2
E01026078,East Lindsey 003B,-8,Does not apply,0
E01026078,East Lindsey 003B,0,Owned: Owns outright,158
E01026078,East Lindsey 003B,1,Owned: Owns with a mortgage or loan,110
E01026078,East Lindsey 003B,2,Shared ownership: Shared ownership,1
E01026078,East Lindsey 003B,3,Social rented: Rents from council or Local Authority,24
E01026078,East Lindsey 003B,4,Social rented: Other social rented,102
E01026078,East Lindsey 003B,5,Private rented: Private landlord or letting agency,74
E01026078,East Lindsey 003B,6,Private rented: Other private rented,6
E01026078,East Lindsey 003B,7,Lives rent free,3
E01026079,East Lindsey 002C,-8,Does not apply,0
E01026079,East Lindsey 002C,0,Owned: Owns outright,494
E01026079,East Lindsey 002C,1,Owned: Owns with a mortgage or loan,193
E01026079,East Lindsey 002C,2,Shared ownership: Shared ownership,2
E01026079,East Lindsey 002C,3,Social rented: Rents from council or Local Authority,12
E01026079,East Lindsey 002C,4,Social rented: Other social rented,48
E01026079,East Lindsey 002C,5,Private rented: Private landlord or letting agency,85
E01026079,East Lindsey 002C,6,Private rented: Other private rented,31
E01026079,East Lindsey 002C,7,Lives rent free,0
E01026080,East Lindsey 001E,-8,Does not apply,0
E01026080,East Lindsey 001E,0,Owned: Owns outright,478
E01026080,East Lindsey 001E,1,Owned: Owns with a mortgage or loan,246
E01026080,East Lindsey 001E,2,Shared ownership: Shared ownership,9
E01026080,East Lindsey 001E,3,Social rented: Rents from council or Local Authority,7
E01026080,East Lindsey 001E,4,Social rented: Other social rented,42
E01026080,East Lindsey 001E,5,Private rented: Private landlord or letting agency,92
E01026080,East Lindsey 001E,6,Private rented: Other private rented,30
E01026080,East Lindsey 001E,7,Lives rent free,0
E01026081,East Lindsey 004A,-8,Does not apply,0
E01026081,East Lindsey 004A,0,Owned: Owns outright,410
E01026081,East Lindsey 004A,1,Owned: Owns with a mortgage or loan,223
E01026081,East Lindsey 004A,2,Shared ownership: Shared ownership,2
E01026081,East Lindsey 004A,3,Social rented: Rents from council or Local Authority,21
E01026081,East Lindsey 004A,4,Social rented: Other social rented,72
E01026081,East Lindsey 004A,5,Private rented: Private landlord or letting agency,415
E01026081,East Lindsey 004A,6,Private rented: Other private rented,46
E01026081,East Lindsey 004A,7,Lives rent free,0
E01026082,East Lindsey 007B,-8,Does not apply,0
E01026082,East Lindsey 007B,0,Owned: Owns outright,628
E01026082,East Lindsey 007B,1,Owned: Owns with a mortgage or loan,237
E01026082,East Lindsey 007B,2,Shared ownership: Shared ownership,3
E01026082,East Lindsey 007B,3,Social rented: Rents from council or Local Authority,6
E01026082,East Lindsey 007B,4,Social rented: Other social rented,19
E01026082,East Lindsey 007B,5,Private rented: Private landlord or letting agency,105
E01026082,East Lindsey 007B,6,Private rented: Other private rented,36
E01026082,East Lindsey 007B,7,Lives rent free,0
E01026083,East Lindsey 015A,-8,Does not apply,0
E01026083,East Lindsey 015A,0,Owned: Owns outright,143
E01026083,East Lindsey 015A,1,Owned: Owns with a mortgage or loan,97
E01026083,East Lindsey 015A,2,Shared ownership: Shared ownership,7
E01026083,East Lindsey 015A,3,Social rented: Rents from council or Local Authority,124
E01026083,East Lindsey 015A,4,Social rented: Other social rented,329
E01026083,East Lindsey 015A,5,Private rented: Private landlord or letting agency,78
E01026083,East Lindsey 015A,6,Private rented: Other private rented,8
E01026083,East Lindsey 015A,7,Lives rent free,0
E01026084,East Lindsey 012A,-8,Does not apply,0
E01026084,East Lindsey 012A,0,Owned: Owns outright,268
E01026084,East Lindsey 012A,1,Owned: Owns with a mortgage or loan,137
E01026084,East Lindsey 012A,2,Shared ownership: Shared ownership,6
E01026084,East Lindsey 012A,3,Social rented: Rents from council or Local Authority,21
E01026084,East Lindsey 012A,4,Social rented: Other social rented,65
E01026084,East Lindsey 012A,5,Private rented: Private landlord or letting agency,195
E01026084,East Lindsey 012A,6,Private rented: Other private rented,19
E01026084,East Lindsey 012A,7,Lives rent free,0
E01026087,East Lindsey 003C,-8,Does not apply,0
E01026087,East Lindsey 003C,0,Owned: Owns outright,138
E01026087,East Lindsey 003C,1,Owned: Owns with a mortgage or loan,186
E01026087,East Lindsey 003C,2,Shared ownership: Shared ownership,22
E01026087,East Lindsey 003C,3,Social rented: Rents from council or Local Authority,51
E01026087,East Lindsey 003C,4,Social rented: Other social rented,136
E01026087,East Lindsey 003C,5,Private rented: Private landlord or letting agency,88
E01026087,East Lindsey 003C,6,Private rented: Other private rented,8
E01026087,East Lindsey 003C,7,Lives rent free,0
